Click here to return to Index,,,,,,,,,
,,,,,,,,,
Asthma Prevalence: Lifetime and current asthma prevalence (and associated 95% confidence intervals) for California and each county  ,,,,,,,,,
,,,,,,,,,
County,Year,Asthma measure,Comparison,Group,County prevalence,County 95% confidence interval,California prevalence,California 95% confidence interval,Comment
Mendocino,2015 2016,Lifetime asthma prevalence,Age group,65+ years,18.10%,(1.2 35.0),14.30%,(12.8 15.7),None
Merced,2015 2016,Lifetime asthma prevalence,Age group,65+ years,17.10%,(5.6 28.6),14.30%,(12.8 15.7),None
Modoc,2015 2016,Lifetime asthma prevalence,Age group,65+ years,22.20%,(7.6 36.9),14.30%,(12.8 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Mono,2015 2016,Lifetime asthma prevalence,Age group,65+ years,19.70%,(5.8 33.5),14.30%,(12.8 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2015 2016,Lifetime asthma prevalence,Age group,65+ years,Not available,Not available,14.30%,(12.8 15.7),County prevalence not available due to small number of survey responses.
Napa,2015 2016,Lifetime asthma prevalence,Age group,65+ years,Not available,Not available,14.30%,(12.8 15.7),County prevalence not available due to small number of survey responses.
Nevada,2015 2016,Lifetime asthma prevalence,Age group,65+ years,14.40%,(3.4 25.4),14.30%,(12.8 15.7),None
Orange,2015 2016,Lifetime asthma prevalence,Age group,65+ years,16.20%,(9.5 23.0),14.30%,(12.8 15.7),None
Placer,2015 2016,Lifetime asthma prevalence,Age group,65+ years,14.10%,(6.3 21.8),14.30%,(12.8 15.7),None
Plumas,2015 2016,Lifetime asthma prevalence,Age group,65+ years,22.20%,(7.6 36.9),14.30%,(12.8 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Riverside,2015 2016,Lifetime asthma prevalence,Age group,65+ years,8.60%,(4.1 13.2),14.30%,(12.8 15.7),None
Sacramento,2015 2016,Lifetime asthma prevalence,Age group,65+ years,15.20%,(6.3 24.1),14.30%,(12.8 15.7),None
San Benito,2015 2016,Lifetime asthma prevalence,Age group,65+ years,Not available,Not available,14.30%,(12.8 15.7),County prevalence not available due to small number of survey responses.
San Bernardino,2015 2016,Lifetime asthma prevalence,Age group,65+ years,14.30%,(5.5 23.1),14.30%,(12.8 15.7),None
San Diego,2015 2016,Lifetime asthma prevalence,Age group,65+ years,12.60%,(8.7 16.5),14.30%,(12.8 15.7),None
San Francisco,2015 2016,Lifetime asthma prevalence,Age group,65+ years,11.90%,(0.8 23.1),14.30%,(12.8 15.7),None
San Joaquin,2015 2016,Lifetime asthma prevalence,Age group,65+ years,17.80%,(6.1 29.5),14.30%,(12.8 15.7),None
San Luis Obispo,2015 2016,Lifetime asthma prevalence,Age group,65+ years,17.30%,(3.4 31.3),14.30%,(12.8 15.7),None
San Mateo,2015 2016,Lifetime asthma prevalence,Age group,65+ years,19.30%,(6.5 32.1),14.30%,(12.8 15.7),None
Santa Barbara,2015 2016,Lifetime asthma prevalence,Age group,65+ years,11.50%,(5.7 17.4),14.30%,(12.8 15.7),None
Santa Clara,2015 2016,Lifetime asthma prevalence,Age group,65+ years,11.20%,(5.3 17.0),14.30%,(12.8 15.7),None
Santa Cruz,2015 2016,Lifetime asthma prevalence,Age group,65+ years,30.80%,(15.6 46.0),14.30%,(12.8 15.7),None
Shasta,2015 2016,Lifetime asthma prevalence,Age group,65+ years,12.60%,(2.4 22.8),14.30%,(12.8 15.7),None
Sierra,2015 2016,Lifetime asthma prevalence,Age group,65+ years,22.20%,(7.6 36.9),14.30%,(12.8 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Siskiyou,2015 2016,Lifetime asthma prevalence,Age group,65+ years,22.20%,(7.6 36.9),14.30%,(12.8 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Solano,2015 2016,Lifetime asthma prevalence,Age group,65+ years,20.60%,(4.4 36.7),14.30%,(12.8 15.7),None
Sonoma,2015 2016,Lifetime asthma prevalence,Age group,65+ years,9.90%,(2.8 16.9),14.30%,(12.8 15.7),None
Stanislaus,2015 2016,Lifetime asthma prevalence,Age group,65+ years,25.50%,(11.1 39.9),14.30%,(12.8 15.7),None
Sutter,2015 2016,Lifetime asthma prevalence,Age group,65+ years,16.50%,(4.8 28.3),14.30%,(12.8 15.7),None
Tehama,2015 2016,Lifetime asthma prevalence,Age group,65+ years,15.00%,(1.2 28.7),14.30%,(12.8 15.7),"Colusa, Glenn, and Tehama counties combined for analysis."
Trinity,2015 2016,Lifetime asthma prevalence,Age group,65+ years,22.20%,(7.6 36.9),14.30%,(12.8 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Tulare,2015 2016,Lifetime asthma prevalence,Age group,65+ years,17.30%,(7.3-27.3),14.30%,(12.8 15.7),None
Tuolumne,2015 2016,Lifetime asthma prevalence,Age group,65+ years,19.70%,(5.8 33.5),14.30%,(12.8 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Ventura,2015 2016,Lifetime asthma prevalence,Age group,65+ years,13.00%,(6.5 19.5),14.30%,(12.8 15.7),None
Yolo,2015 2016,Lifetime asthma prevalence,Age group,65+ years,10.20%,(0.9 19.5),14.30%,(12.8 15.7),None
Yuba,2015 2016,Lifetime asthma prevalence,Age group,65+ years,22.60%,(2.6 42.6),14.30%,(12.8 15.7),None
Alameda,2015 2016,Current asthma prevalence,Total population,All ages,9.10%,(5.9 12.2),8.70%,(8.1 9.3),None
Alpine,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(4.1 14.6),8.70%,(8.1 9.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(4.1 14.6),8.70%,(8.1 9.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2015 2016,Current asthma prevalence,Total population,All ages,9.40%,(3.8 15.1),8.70%,(8.1 9.3),None
Calaveras,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(4.1 14.6),8.70%,(8.1 9.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2015 2016,Current asthma prevalence,Total population,All ages,7.30%,(2.7 12.0),8.70%,(8.1 9.3),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2015 2016,Current asthma prevalence,Total population,All ages,12.10%,(5.2 19.1),8.70%,(8.1 9.3),None
Del Norte,2015 2016,Current asthma prevalence,Total population,All ages,7.20%,(1.2 13.3),8.70%,(8.1 9.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
El Dorado,2015 2016,Current asthma prevalence,Total population,All ages,12.10%,(2.9 21.2),8.70%,(8.1 9.3),None
Fresno,2015 2016,Current asthma prevalence,Total population,All ages,11.30%,(6.2 16.4),8.70%,(8.1 9.3),None
Glenn,2015 2016,Current asthma prevalence,Total population,All ages,7.30%,(2.7 12.0),8.70%,(8.1 9.3),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2015 2016,Current asthma prevalence,Total population,All ages,12.50%,(3.4 21.6),8.70%,(8.1 9.3),None
Imperial,2015 2016,Current asthma prevalence,Total population,All ages,12.10%,(6.9 17.4),8.70%,(8.1 9.3),None
Inyo,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(4.1 14.6),8.70%,(8.1 9.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2015 2016,Current asthma prevalence,Total population,All ages,16.70%,(9.3 24.0),8.70%,(8.1 9.3),None
Kings,2015 2016,Current asthma prevalence,Total population,All ages,15.80%,(7.9 23.6),8.70%,(8.1 9.3),None
Lake,2015 2016,Current asthma prevalence,Total population,All ages,17.30%,(9.1 25.6),8.70%,(8.1 9.3),None
Lassen,2015 2016,Current asthma prevalence,Total population,All ages,7.20%,(1.2 13.3),8.70%,(8.1 9.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Los Angeles,2015 2016,Current asthma prevalence,Total population,All ages,7.80%,(6.6 9.0),8.70%,(8.1 9.3),None
Madera,2015 2016,Current asthma prevalence,Total population,All ages,10.30%,(3.3 17.4),8.70%,(8.1 9.3),None
Marin,2015 2016,Current asthma prevalence,Total population,All ages,6.80%,(4.5 9.1),8.70%,(8.1 9.3),None
Mariposa,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(4.1 14.6),8.70%,(8.1 9.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(3.8 14.8),8.70%,(8.1 9.3),None
Merced,2015 2016,Current asthma prevalence,Total population,All ages,10.30%,(3.8 16.7),8.70%,(8.1 9.3),None
Modoc,2015 2016,Current asthma prevalence,Total population,All ages,7.20%,(1.2 13.3),8.70%,(8.1 9.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Mono,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(4.1 14.6),8.70%,(8.1 9.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2015 2016,Current asthma prevalence,Total population,All ages,8.80%,(3.7 14.0),8.70%,(8.1 9.3),None
Napa,2015 2016,Current asthma prevalence,Total population,All ages,Not available,Not available,8.70%,(8.1 9.3),County prevalence not available due to small number of survey responses.
Nevada,2015 2016,Current asthma prevalence,Total population,All ages,6.20%,(2.0 10.4),8.70%,(8.1 9.3),None
Orange,2015 2016,Current asthma prevalence,Total population,All ages,6.70%,(3.9 9.5),8.70%,(8.1 9.3),None
Placer,2015 2016,Current asthma prevalence,Total population,All ages,8.40%,(3.9 13.0),8.70%,(8.1 9.3),None
Plumas,2015 2016,Current asthma prevalence,Total population,All ages,7.20%,(1.2 13.3),8.70%,(8.1 9.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Riverside,2015 2016,Current asthma prevalence,Total population,All ages,10.20%,(6.3 14.1),8.70%,(8.1 9.3),None
Sacramento,2015 2016,Current asthma prevalence,Total population,All ages,9.60%,(6.3 12.8),8.70%,(8.1 9.3),None
San Benito,2015 2016,Current asthma prevalence,Total population,All ages,5.30%,(1.0 9.6),8.70%,(8.1 9.3),None
San Bernardino,2015 2016,Current asthma prevalence,Total population,All ages,10.60%,(7.5 13.8),8.70%,(8.1 9.3),None
San Diego,2015 2016,Current asthma prevalence,Total population,All ages,7.10%,(5.5 8.7),8.70%,(8.1 9.3),None
San Francisco,2015 2016,Current asthma prevalence,Total population,All ages,7.70%,(3.8 11.5),8.70%,(8.1 9.3),None
San Joaquin,2015 2016,Current asthma prevalence,Total population,All ages,7.50%,(2.8 12.2),8.70%,(8.1 9.3),None
San Luis Obispo,2015 2016,Current asthma prevalence,Total population,All ages,5.90%,(1.5 10.4),8.70%,(8.1 9.3),None
San Mateo,2015 2016,Current asthma prevalence,Total population,All ages,11.40%,(6.5 16.4),8.70%,(8.1 9.3),None
Santa Barbara,2015 2016,Current asthma prevalence,Total population,All ages,6.20%,(1.1 11.3),8.70%,(8.1 9.3),None
Santa Clara,2015 2016,Current asthma prevalence,Total population,All ages,6.00%,(3.9 8.0),8.70%,(8.1 9.3),None
Santa Cruz,2015 2016,Current asthma prevalence,Total population,All ages,11.30%,(6.0 16.6),8.70%,(8.1 9.3),None
Shasta,2015 2016,Current asthma prevalence,Total population,All ages,7.30%,(3.1 11.6),8.70%,(8.1 9.3),None
Sierra,2015 2016,Current asthma prevalence,Total population,All ages,7.20%,(1.2 13.3),8.70%,(8.1 9.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Siskiyou,2015 2016,Current asthma prevalence,Total population,All ages,7.20%,(1.2 13.3),8.70%,(8.1 9.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Solano,2015 2016,Current asthma prevalence,Total population,All ages,13.30%,(5.9 20.6),8.70%,(8.1 9.3),None
Sonoma,2015 2016,Current asthma prevalence,Total population,All ages,8.10%,(4.5 11.6),8.70%,(8.1 9.3),None
Stanislaus,2015 2016,Current asthma prevalence,Total population,All ages,13.40%,(7.5 19.2),8.70%,(8.1 9.3),None
Sutter,2015 2016,Current asthma prevalence,Total population,All ages,8.10%,(2.9 13.2),8.70%,(8.1 9.3),None
Tehama,2015 2016,Current asthma prevalence,Total population,All ages,7.30%,(2.7 12.0),8.70%,(8.1 9.3),"Colusa, Glenn, and Tehama counties combined for analysis."
Trinity,2015 2016,Current asthma prevalence,Total population,All ages,7.20%,(1.2 13.3),8.70%,(8.1 9.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Tulare,2015 2016,Current asthma prevalence,Total population,All ages,8.60%,(4.3 12.9),8.70%,(8.1 9.3),None
Tuolumne,2015 2016,Current asthma prevalence,Total population,All ages,9.30%,(4.1 14.6),8.70%,(8.1 9.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Ventura,2015 2016,Current asthma prevalence,Total population,All ages,6.70%,(3.3 10.0),8.70%,(8.1 9.3),None
Yolo,2015 2016,Current asthma prevalence,Total population,All ages,6.60%,(1.3 11.9),8.70%,(8.1 9.3),None
Yuba,2015 2016,Current asthma prevalence,Total population,All ages,14.80%,(9.0 20.5),8.70%,(8.1 9.3),None
Alameda,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,15.10%,(3.9 26.4),10.10%,(8.2 12.0),None
Alpine,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Amador,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Butte,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Calaveras,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Colusa,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Contra Costa,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Del Norte,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
El Dorado,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Fresno,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,10.70%,(0.5 20.8),10.10%,(8.2 12.0),None
Glenn,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Humboldt,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Imperial,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,19.10%,(5.6 32.5),10.10%,(8.2 12.0),None
Inyo,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Kern,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,26.00%,(10.8 41.1),10.10%,(8.2 12.0),None
Kings,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Lake,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Lassen,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Los Angeles,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,10.10%,(6.0 14.2),10.10%,(8.2 12.0),None
Madera,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Marin,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Mariposa,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Mendocino,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Merced,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Modoc,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Mono,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Monterey,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Napa,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Nevada,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Orange,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,8.00%,(2.4 13.6),10.10%,(8.2 12.0),None
Placer,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Plumas,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Riverside,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,14.80%,(3.1 26.4),10.10%,(8.2 12.0),None
Sacramento,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
San Benito,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
San Bernardino,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,11.80%,(2.1 21.6),10.10%,(8.2 12.0),None
San Diego,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,6.60%,(2.4 10.7),10.10%,(8.2 12.0),None
San Francisco,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
San Joaquin,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
San Luis Obispo,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
San Mateo,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Santa Barbara,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Santa Clara,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Santa Cruz,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Shasta,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Sierra,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Siskiyou,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Solano,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Sonoma,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Stanislaus,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Sutter,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Tehama,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Trinity,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Tulare,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Tuolumne,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Ventura,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Yolo,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Yuba,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,10.10%,(8.2 12.0),County prevalence not available due to small number of survey responses.
Alameda,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,7.30%,(4.0 10.7),8.30%,(7.7 8.9),None
Alpine,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.10%,(4.7 15.6),8.30%,(7.7 8.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.10%,(4.7 15.6),8.30%,(7.7 8.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.60%,(0.9 17.3),8.30%,(7.7 8.9),None
Calaveras,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.10%,(4.7 15.6),8.30%,(7.7 8.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.10%,(2.6 13.7),8.30%,(7.7 8.9),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,9.20%,(4.2 15.8),8.30%,(7.7 8.9),None
Del Norte,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.00%,(2.4 17.6),8.30%,(7.7 8.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
El Dorado,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,12.50%,(2.0 23.0),8.30%,(7.7 8.9),None
Fresno,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,11.50%,(6.1 16.9),8.30%,(7.7 8.9),None
Glenn,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.10%,(2.6 13.7),8.30%,(7.7 8.9),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,12.00%,(2.4 21.6),8.30%,(7.7 8.9),None
Imperial,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.90%,(4.7 13.1),8.30%,(7.7 8.9),None
Inyo,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.10%,(4.7 15.6),8.30%,(7.7 8.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,12.30%,(6.4 18.1),8.30%,(7.7 8.9),None
Kings,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,15.80%,(6.7 24.9),8.30%,(7.7 8.9),None
Lake,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,19.10%,(9.6 28.7),8.30%,(7.7 8.9),None
Lassen,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.00%,(2.4 17.6),8.30%,(7.7 8.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Los Angeles,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,7.10%,(6.0 8.2),8.30%,(7.7 8.9),None
Madera,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,9.90%,(4.0 15.7),8.30%,(7.7 8.9),None
Marin,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,7.40%,(4.6 10.1),8.30%,(7.7 8.9),None
Mariposa,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.10%,(4.7 15.6),8.30%,(7.7 8.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.60%,(3.9 13.3),8.30%,(7.7 8.9),None
Merced,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,11.70%,(3.8 19.6),8.30%,(7.7 8.9),None
